Name,Attendance/Record,Class,Day,Date,Edits,From/To,Topics,Type,day
Economics,,Economics,Monday,04/10/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,08/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,04/10/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Tuesday,05/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,06/10/2021,,,,📒 Lesson,
DC,,Data Communication,Monday,04/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Tuesday,05/10/2021,,,,📒 Lesson,
DC,,Data Communication,Wednesday,06/10/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 11,Monday,04/10/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Tuesday,05/10/2021,,,,📒 Lesson,
Economics,,Economics,Thursday,07/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Monday,04/10/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,08/10/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Friday,08/10/2021,,,,📒 Lesson,
,,,,,,,,,
CSA,,Computer System Architecture,Monday,11/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Tuesday,12/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Wednesday,13/10/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Friday,15/10/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Tuesday,12/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,13/10/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Thursday,14/10/2021,,,,📒 Lesson,
Economics,,Economics,Friday,15/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,11/10/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 12,Tuesday,12/10/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Wednesday,13/10/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 12,Friday,15/10/2021,,,,📒 Lesson,
Economics,,Economics,Monday,11/10/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,15/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,11/10/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Tuesday,12/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,13/10/2021,,,,📒 Lesson,
DC,,Data Communication,Monday,11/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Tuesday,12/10/2021,,,,📒 Lesson,
DC,,Data Communication,Wednesday,13/10/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 12,Monday,11/10/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Tuesday,12/10/2021,,,,📒 Lesson,
Economics,,Economics,Thursday,14/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Monday,11/10/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,15/10/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Friday,15/10/2021,,,,📒 Lesson,
,,,,,,,,,
CSA,,Computer System Architecture,Monday,18/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Tuesday,19/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Wednesday,20/10/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Friday,22/10/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Tuesday,19/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,20/10/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Thursday,21/10/2021,,,,📒 Lesson,
Economics,,Economics,Friday,22/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,18/10/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 13,Tuesday,19/10/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Wednesday,20/10/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 13,Friday,22/10/2021,,,,📒 Lesson,
Economics,,Economics,Monday,18/10/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,22/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,18/10/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Tuesday,19/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,20/10/2021,,,,📒 Lesson,
DC,,Data Communication,Monday,18/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Tuesday,19/10/2021,,,,📒 Lesson,
DC,,Data Communication,Wednesday,20/10/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 13,Monday,18/10/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Tuesday,19/10/2021,,,,📒 Lesson,
Economics,,Economics,Thursday,21/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Monday,18/10/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,22/10/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Friday,22/10/2021,,,,📒 Lesson,
,,,,,,,,,
CSA,,Computer System Architecture,Monday,25/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Tuesday,26/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Wednesday,27/10/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Friday,29/10/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Tuesday,26/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,27/10/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Thursday,28/10/2021,,,,📒 Lesson,
Economics,,Economics,Friday,29/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,25/10/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 14,Tuesday,26/10/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Wednesday,27/10/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 14,Friday,29/10/2021,,,,📒 Lesson,
Economics,,Economics,Monday,25/10/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,29/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,25/10/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Tuesday,26/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,27/10/2021,,,,📒 Lesson,
DC,,Data Communication,Monday,25/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Tuesday,26/10/2021,,,,📒 Lesson,
DC,,Data Communication,Wednesday,27/10/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 14,Monday,25/10/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Tuesday,26/10/2021,,,,📒 Lesson,
Economics,,Economics,Thursday,28/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Monday,25/10/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,29/10/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Friday,29/10/2021,,,,📒 Lesson,
,,,,,,,,,
CSA,,Computer System Architecture,Monday,01/11/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Tuesday,02/11/2021,,,,📒 Lesson,
